Date,Region,Product,Quantity,Unit Price,Total Sales
2023-01-01,West,Laptop,4,800,3200
2023-01-02,East,Tablet,7,200,1400
2023-01-03,South,Monitor,11,300,3300
2023-01-04,West,Headphones,12,100,1200
2023-01-05,North,Tablet,2,200,400
2023-01-06,North,Laptop,9,800,7200
2023-01-07,East,Monitor,7,300,2100
2023-01-08,South,Phone,4,500,2000
2023-01-09,East,Laptop,10,800,8000
2023-01-10,West,Phone,9,500,4500
2023-01-11,North,Monitor,7,300,2100
2023-01-12,East,Phone,16,500,8000
2023-01-13,East,Phone,14,500,7000
2023-01-14,South,Headphones,2,100,200
2023-01-15,North,Headphones,16,100,1600
2023-01-16,South,Laptop,18,800,14400
2023-01-17,West,Tablet,7,200,1400
2023-01-18,North,Laptop,2,800,1600
2023-01-19,North,Laptop,14,800,11200
2023-01-20,North,Phone,15,500,7500
2023-01-21,South,Headphones,14,100,1400
2023-01-22,East,Laptop,18,800,14400
2023-01-23,North,Headphones,15,100,1500
2023-01-24,South,Headphones,16,100,1600
2023-01-25,West,Monitor,10,300,3000
2023-01-26,East,Tablet,1,200,200
2023-01-27,North,Monitor,3,300,900
2023-01-28,West,Tablet,15,200,3000
2023-01-29,North,Laptop,4,800,3200
2023-01-30,South,Monitor,17,300,5100
2023-01-31,West,Tablet,17,200,3400
2023-02-01,South,Tablet,1,200,200
2023-02-02,West,Phone,11,500,5500
2023-02-03,South,Tablet,5,200,1000
2023-02-04,North,Monitor,3,300,900
2023-02-05,South,Phone,8,500,4000
2023-02-06,West,Laptop,17,800,13600
2023-02-07,West,Tablet,17,200,3400
2023-02-08,North,Headphones,11,100,1100
2023-02-09,South,Tablet,17,200,3400
2023-02-10,West,Headphones,5,100,500
2023-02-11,East,Phone,9,500,4500
2023-02-12,North,Laptop,7,800,5600
2023-02-13,East,Monitor,8,300,2400
2023-02-14,West,Tablet,8,200,1600
2023-02-15,North,Phone,9,500,4500
2023-02-16,West,Phone,5,500,2500
2023-02-17,East,Headphones,19,100,1900
2023-02-18,West,Tablet,9,200,1800
2023-02-19,East,Tablet,11,200,2200
2023-02-20,North,Headphones,7,100,700
2023-02-21,West,Tablet,20,200,4000
2023-02-22,South,Tablet,7,200,1400
2023-02-23,South,Monitor,20,300,6000
2023-02-24,North,Phone,14,500,7000
2023-02-25,North,Tablet,16,200,3200
2023-02-26,West,Headphones,14,100,1400
2023-02-27,North,Headphones,6,100,600
2023-02-28,South,Headphones,12,100,1200
2023-03-01,South,Monitor,6,300,1800
2023-03-02,East,Tablet,17,200,3400
2023-03-03,South,Phone,13,500,6500
2023-03-04,East,Tablet,4,200,800
2023-03-05,South,Headphones,16,100,1600
2023-03-06,West,Headphones,2,100,200
2023-03-07,South,Phone,5,500,2500
2023-03-08,North,Phone,8,500,4000
2023-03-09,South,Monitor,9,300,2700
2023-03-10,West,Monitor,1,300,300
2023-03-11,South,Laptop,13,800,10400
2023-03-12,North,Monitor,16,300,4800
2023-03-13,East,Laptop,15,800,12000
2023-03-14,West,Phone,4,500,2000
2023-03-15,North,Laptop,10,800,8000
2023-03-16,West,Tablet,10,200,2000
2023-03-17,East,Laptop,11,800,8800
2023-03-18,North,Phone,2,500,1000
2023-03-19,East,Tablet,2,200,400
2023-03-20,East,Headphones,2,100,200
2023-03-21,East,Phone,3,500,1500
2023-03-22,West,Tablet,14,200,2800
2023-03-23,East,Phone,12,500,6000
2023-03-24,North,Phone,7,500,3500
2023-03-25,North,Phone,18,500,9000
2023-03-26,South,Monitor,10,300,3000
2023-03-27,East,Tablet,9,200,1800
2023-03-28,North,Phone,1,500,500
2023-03-29,East,Laptop,15,800,12000
2023-03-30,West,Monitor,15,300,4500
2023-03-31,East,Phone,10,500,5000
2023-04-01,South,Monitor,19,300,5700
2023-04-02,East,Phone,6,500,3000
2023-04-03,West,Phone,18,500,9000
2023-04-04,North,Laptop,11,800,8800
2023-04-05,West,Monitor,9,300,2700
2023-04-06,South,Laptop,9,800,7200
2023-04-07,South,Headphones,18,100,1800
2023-04-08,North,Phone,19,500,9500
2023-04-09,West,Tablet,7,200,1400
2023-04-10,South,Monitor,15,300,4500
